angaza_id,area,daily_price,upfront_price,expected_repayment_days,registration_date,free_days_included,product_group,country
AC9403563,Area A,30,400,402,12/1/23,3,Product 1,Kenya
AC9407464,Area B,80,1900,578,12/2/23,3,Product 2,Kenya
AC9435050,Area A,30,400,402,12/6/23,3,Product 1,Kenya
AC9437269,Area A,30,400,402,12/7/23,3,Product 1,Kenya
AC9439351,Area A,30,400,402,12/7/23,3,Product 1,Kenya
AC9449605,Area A,30,400,402,12/8/23,3,Product 1,Kenya
AC9457799,Area A,30,400,402,12/10/23,3,Product 1,Kenya
AC9467615,Area A,30,400,402,12/11/23,3,Product 1,Kenya
AC9481041,Area A,30,400,402,12/13/23,3,Product 1,Kenya
AC9480414,Area A,30,400,402,12/13/23,3,Product 1,Kenya
AC9488938,Area A,30,400,402,12/14/23,3,Product 1,Kenya
AC9489331,Area A,30,400,402,12/14/23,3,Product 1,Kenya
AC9484491,Area A,30,400,402,12/14/23,3,Product 1,Kenya
AC9492452,Area A,30,400,402,12/15/23,3,Product 1,Kenya
AC9490987,Area A,30,400,402,12/15/23,3,Product 1,Kenya
AC9505619,Area B,30,400,402,12/17/23,3,Product 1,Kenya
AC9507333,Area A,60,950,402,12/17/23,3,Product 3,Kenya
AC9507292,Area A,30,400,402,12/17/23,3,Product 1,Kenya
AC9507399,Area A,30,400,402,12/17/23,3,Product 1,Kenya
AC9505418,Area A,30,400,402,12/17/23,3,Product 1,Kenya
AC9509917,Area A,30,400,402,12/18/23,3,Product 1,Kenya
AC9511211,Area A,30,400,402,12/18/23,3,Product 1,Kenya
AC9516984,Area A,110,1650,575,12/19/23,3,Product 4,Kenya
AC9528783,Area B,30,400,402,12/20/23,3,Product 1,Kenya
AC9529499,Area A,30,400,402,12/20/23,3,Product 1,Kenya
AC9531520,Area A,80,1900,578,12/21/23,3,Product 2,Kenya
AC9535445,Area A,30,400,402,12/21/23,3,Product 1,Kenya
AC9538715,Area A,30,400,402,12/22/23,3,Product 1,Kenya
AC9544401,Area A,40,750,402,12/22/23,3,Product 3,Kenya
AC9545870,Area A,30,400,402,12/22/23,3,Product 1,Kenya
AC9550470,Area A,30,400,402,12/23/23,3,Product 1,Kenya
AC9551390,Area B,30,400,402,12/23/23,3,Product 1,Kenya
AC9557176,Area A,30,400,402,12/24/23,3,Product 1,Kenya
AC9559181,Area A,30,400,402,12/24/23,3,Product 1,Kenya
AC9564516,Area B,30,400,402,12/26/23,3,Product 1,Kenya
AC9567935,Area A,60,1200,402,12/26/23,3,Product 3,Kenya
AC9574447,Area A,30,400,402,12/27/23,3,Product 1,Kenya
AC9577567,Area A,30,400,402,12/28/23,3,Product 1,Kenya
AC9584029,Area B,30,400,402,12/29/23,3,Product 1,Kenya
AC9587186,Area A,30,350,402,12/29/23,3,Product 1,Kenya
AC9596596,Area B,30,400,402,12/31/23,3,Product 1,Kenya
AC9599850,Area A,30,400,402,12/31/23,3,Product 1,Kenya
AC9603089,Area A,60,950,402,1/2/24,3,Product 3,Kenya
AC9604109,Area A,30,350,402,1/2/24,3,Product 1,Kenya
AC9622230,Area B,30,400,402,1/5/24,3,Product 1,Kenya
AC9633904,Area B,90,2450,381,1/7/24,3,Product 5,Kenya
AC9639853,Area B,70,1300,402,1/8/24,3,Product 3,Kenya
AC9647040,Area A,30,400,402,1/9/24,3,Product 1,Kenya
AC9660138,Area A,90,2450,381,1/11/24,3,Product 5,Kenya
AC9672893,Area B,30,400,402,1/13/24,3,Product 1,Kenya
AC9679700,Area A,30,400,402,1/14/24,3,Product 1,Kenya
AC9694324,Area A,60,950,402,1/16/24,3,Product 3,Kenya
AC9696724,Area B,30,400,402,1/17/24,3,Product 1,Kenya
AC9699493,Area B,30,400,402,1/17/24,3,Product 1,Kenya
AC9698225,Area B,30,400,402,1/17/24,3,Product 1,Kenya
AC9707373,Area A,30,400,402,1/18/24,3,Product 1,Kenya
AC9708229,Area A,30,400,402,1/18/24,3,Product 1,Kenya
AC9705797,Area A,30,400,402,1/18/24,3,Product 1,Kenya
AC9715442,Area A,30,400,402,1/19/24,3,Product 1,Kenya
AC9715505,Area A,30,400,402,1/19/24,3,Product 1,Kenya
AC9713341,Area A,30,400,402,1/19/24,3,Product 1,Kenya
AC9721740,Area A,30,400,402,1/21/24,3,Product 1,Kenya
AC9724765,Area B,30,400,402,1/21/24,3,Product 1,Kenya
AC9724857,Area A,30,400,402,1/21/24,3,Product 1,Kenya
AC9726394,Area A,60,1200,402,1/22/24,3,Product 3,Kenya
AC9739867,Area A,30,400,402,1/24/24,3,Product 1,Kenya
AC9760812,Area B,30,400,402,1/27/24,3,Product 1,Kenya
AC9761763,Area B,80,1900,578,1/27/24,3,Product 2,Kenya
AC9764178,Area A,30,400,402,1/27/24,3,Product 1,Kenya
AC9760771,Area A,30,400,402,1/27/24,3,Product 1,Kenya
AC9765344,Area A,30,400,402,1/28/24,3,Product 1,Kenya
AC9777529,Area B,80,1900,578,1/30/24,3,Product 2,Kenya
AC9779611,Area B,30,350,402,1/30/24,3,Product 1,Kenya
AC9785920,Area A,60,1200,402,1/31/24,3,Product 3,Kenya
AC9799788,Area A,30,400,402,2/2/24,3,Product 1,Kenya
AC9806809,Area A,30,400,402,2/2/24,3,Product 1,Kenya
AC9815995,Area A,30,400,402,2/4/24,3,Product 1,Kenya
AC9820231,Area A,30,400,409,2/5/24,3,Product 1,Kenya
AC9823170,Area A,30,400,409,2/5/24,3,Product 1,Kenya
AC9825651,Area A,30,400,409,2/5/24,3,Product 1,Kenya
AC9831872,Area A,30,400,409,2/6/24,3,Product 1,Kenya
AC9843130,Area A,30,400,409,2/8/24,3,Product 1,Kenya
AC9852416,Area A,110,3000,381,2/9/24,3,Product 5,Kenya
AC9858454,Area B,30,400,409,2/9/24,3,Product 1,Kenya
AC9866832,Area B,30,400,409,2/10/24,3,Product 1,Kenya
AC9868025,Area A,30,400,409,2/10/24,3,Product 1,Kenya
AC9871199,Area A,30,400,409,2/11/24,3,Product 1,Kenya
AC9890044,Area A,30,400,409,2/13/24,3,Product 1,Kenya
AC9888554,Area B,30,400,409,2/13/24,3,Product 1,Kenya
AC9883122,Area A,30,400,409,2/13/24,3,Product 1,Kenya
AC9888999,Area A,40,750,402,2/13/24,3,Product 3,Kenya
AC9897615,Area B,30,400,409,2/14/24,3,Product 1,Kenya
AC9897919,Area A,30,400,409,2/14/24,3,Product 1,Kenya
AC9901932,Area A,80,1900,79,2/15/24,3,Product 2,Kenya
AC9907495,Area A,30,400,409,2/15/24,3,Product 1,Kenya
AC9909319,Area B,60,950,428,2/15/24,3,Product 6,Kenya
AC9915973,Area A,30,400,409,2/16/24,3,Product 1,Kenya
AC9921206,Area B,30,300,409,2/17/24,3,Product 1,Kenya
AC9919307,Area A,30,400,409,2/17/24,3,Product 1,Kenya
AC9928612,Area A,30,400,409,2/18/24,3,Product 1,Kenya
AC9928991,Area A,30,400,409,2/18/24,3,Product 1,Kenya
AC9930007,Area A,30,400,409,2/18/24,3,Product 1,Kenya
AC9937726,Area B,30,400,409,2/19/24,3,Product 1,Kenya
AC9958146,Area A,30,400,409,2/21/24,3,Product 1,Kenya
AC9970982,Area B,70,1200,409,2/23/24,3,Product 3,Kenya
AC9972892,Area A,30,400,409,2/23/24,3,Product 1,Kenya
AC9983934,Area A,30,400,409,2/25/24,3,Product 1,Kenya
AC9984856,Area A,30,300,409,2/25/24,3,Product 1,Kenya
AC9982384,Area B,70,1200,409,2/25/24,3,Product 3,Kenya
AC9997854,Area A,30,400,409,2/27/24,3,Product 1,Kenya
AC9408203,Area B,30,400,402,12/2/23,3,Product 1,Kenya
AC9408548,Area A,30,400,402,12/2/23,3,Product 1,Kenya
AC9411981,Area A,30,400,402,12/3/23,3,Product 1,Kenya
AC9412043,Area A,30,400,402,12/3/23,3,Product 1,Kenya
AC9412250,Area B,30,400,402,12/3/23,3,Product 1,Kenya
AC9438290,Area A,60,1200,402,12/7/23,3,Product 3,Kenya
AC9447145,Area A,30,400,402,12/8/23,3,Product 1,Kenya
AC9456314,Area B,80,1900,578,12/9/23,3,Product 2,Kenya
AC9456275,Area A,60,1200,402,12/9/23,3,Product 3,Kenya
AC9459014,Area A,30,400,402,12/10/23,3,Product 1,Kenya
AC9461486,Area A,30,400,402,12/10/23,3,Product 1,Kenya
AC9461234,Area A,30,400,402,12/10/23,3,Product 1,Kenya
AC9464262,Area B,60,1200,402,12/11/23,3,Product 3,Kenya
AC9470550,Area B,60,1200,402,12/12/23,3,Product 3,Kenya
AC9487200,Area A,30,400,402,12/14/23,3,Product 1,Kenya
AC9488861,Area A,30,400,402,12/14/23,3,Product 1,Kenya
AC9496896,Area B,110,3000,381,12/15/23,3,Product 5,Kenya
AC9514579,Area A,30,400,402,12/18/23,3,Product 1,Kenya
AC9521875,Area A,30,400,402,12/19/23,3,Product 1,Kenya
AC9541784,Area A,30,400,402,12/22/23,3,Product 1,Kenya
AC9549185,Area A,30,400,402,12/23/23,3,Product 1,Kenya
AC9549953,Area A,30,400,402,12/23/23,3,Product 1,Kenya
AC9554216,Area B,30,400,402,12/23/23,3,Product 1,Kenya
AC9550001,Area A,30,400,402,12/23/23,3,Product 1,Kenya
AC9562707,Area A,30,400,402,12/25/23,3,Product 1,Kenya
AC9563893,Area B,80,1900,65,12/26/23,3,Product 2,Kenya
AC9572358,Area B,80,1900,578,12/27/23,3,Product 2,Kenya
AC9572692,Area A,30,400,402,12/27/23,3,Product 1,Kenya
AC9574268,Area A,30,400,402,12/27/23,3,Product 1,Kenya
AC9579419,Area A,60,950,402,12/28/23,3,Product 3,Kenya
AC9583185,Area A,30,400,402,12/29/23,3,Product 1,Kenya
AC9587056,Area A,30,400,402,12/29/23,3,Product 1,Kenya
AC9595575,Area A,30,400,402,12/30/23,3,Product 1,Kenya
AC9603544,Area A,80,1900,578,1/2/24,3,Product 2,Kenya
AC9616011,Area A,30,400,402,1/4/24,3,Product 1,Kenya
AC9625992,Area B,40,750,402,1/5/24,3,Product 3,Kenya
AC9629451,Area B,80,1900,578,1/6/24,3,Product 2,Kenya
AC9636471,Area A,30,400,402,1/7/24,3,Product 1,Kenya
